Species,Individual,Age_sub,Age,Sex,Well,Target,Content,IGF1,IGF2
House Mouse,28;MNX;104,Embryonic.Lab,Embryonic,NA,D07,,,,19050033.54
House Mouse,28;MNX;104,Embryonic.Lab,Embryonic,NA,D08,IGF1,Unkn-12,92122.90719,15411397.43
House Mouse,28;MNX;104,Embryonic.Lab,Embryonic,NA,D09,IGF1,Unkn-12,97219.55913,15487563.96
House Mouse,NIH;F2,Adult.Lab,Adult,Female,E08,IGF1,Unkn-13,2702212.644,1488.289284
House Mouse,NIH;F2,Adult.Lab,Adult,Female,E09,IGF1,Unkn-13,2849328.172,1652.201204
House Mouse,NIH;F2,Adult.Lab,Adult,Female,E09,IGF2,Unkn-13,,1595.77489
House Mouse,NIH;F3,Adult.Lab,Adult,Female,F07,IGF2,Unkn-14,,187.248851
House Mouse,NIH;F3,Adult.Lab,Adult,Female,F08,IGF1,Unkn-14,1742603.667,38.79726429
House Mouse,NIH;F3,Adult.Lab,Adult,Female,F09,IGF1,Unkn-14,1677836.13,124.184484
House Mouse,NIH;M2,Adult.Lab,Adult,Male,G07,IGF1,Unkn-15,2880479.691,1052.587399
House Mouse,NIH;M2,Adult.Lab,Adult,Male,G08,IGF1,Unkn-15,3820679.772,1150.745599
House Mouse,NIH;M2,Adult.Lab,Adult,Male,G09,IGF1,Unkn-15,3838888.857,998.2005825
House Mouse,NIH;M3,Adult.Lab,Adult,Male,H07,IGF1,Unkn-16,2534779.002,4643.1144
House Mouse,NIH;M3,Adult.Lab,Adult,Male,H08,IGF1,Unkn-16,3169551.795,4383.072249
House Mouse,NIH;M3,Adult.Lab,Adult,Male,H09,IGF1,Unkn-16,3162503.508,4417.517199
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
